IdSumstat__YAP_nuclear_observable,SEM_IdSumstat__YAP_nuclear_observable,IdSumstat__YAP_total_observable,SEM_IdSumstat__YAP_total_observable
1,0.098297,1,0.042313
1,0.098297,1,0.024624
1,0.08647475,1,0.02177
1,0.0746525,1,0.045843
1,0.06283025,1,0.056711
1,0.051008,1,0.062587
1,0.04336725,1,0.042986
1,0.0357265,1,0.036903
1,0.02808575,1,0.030178
1,0.020445,1,0.052427
1.06316,0.079461,1.165735,0.0367
1.174304,0.079461,1.200471,0.050725
1.27876,0.073891,1.279887,0.048486
1.410496,0.068322,1.269325,0.041492
1.496929,0.062752,1.304933,0.062228
1.636696,0.057182,1.363516,0.067372
1.60042,0.052829,1.318618,0.042634
1.454974,0.048477,1.257454,0.033167
1.487127,0.044124,1.203111,0.028784
1.347551,0.039771,1.038124,0.072231
1.209071,0.101001,1.316883,0.092334
1.28976,0.101001,1.368537,0.057898
1.520645,0.090018,1.424928,0.042596
1.517181,0.079035,1.456038,0.048738
1.55356,0.068052,1.467018,0.062428
1.649132,0.057069,1.530239,0.078355
1.731132,0.051452,1.560614,0.058976
1.60413,0.045835,1.544043,0.069695
1.56927,0.040218,1.500965,0.056137
1.381957,0.034601,1.294218,0.063779
1.102287,0.095383,1.246692,0.064301
1.239916,0.095383,1.383782,0.057672
1.365445,0.089462,1.460713,0.0478
1.51172,0.083541,1.516818,0.060021
1.581315,0.077619,1.54658,0.086371
1.714429,0.071698,1.650898,0.083958
1.754233,0.060482,1.662168,0.062393
1.62836,0.049268,1.613539,0.045851
1.617638,0.038052,1.5546,0.040799
1.501248,0.026837,1.324019,0.052456
0.936666,0.069972,1.049502,0.038045
1.004675,0.069972,1.097537,0.041628
1.098926,0.063208,1.135873,0.023707
1.202815,0.056444,1.178458,0.038678
1.256231,0.04968,1.229582,0.059953
1.31515,0.042915,1.310968,0.063139
1.349312,0.045279,1.297811,0.039955
1.224346,0.047643,1.240246,0.032824
1.14507,0.050006,1.167835,0.02734
1.065278,0.05237,1.021649,0.042467
0.725085,0.093152,0.788292,0.086697
0.814514,0.093152,0.816674,0.049662
0.817781,0.083984,0.847015,0.03371
0.946491,0.074816,0.877469,0.029264
0.993993,0.065647,0.925775,0.045947
1.071735,0.056479,0.992861,0.05165
1.119022,0.046853,0.979411,0.040636
0.989987,0.037227,0.941384,0.051889
1.007928,0.027601,0.898662,0.036178
0.94257,0.017975,0.807023,0.040216
